Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2013/14,Philadelphia,D,"Bourdon, Marc-Andre",Concussion,0.6125,366.0060976,49,49
2013/14,Phoenix,D,"Klesla, Rostislav",Concussion,2.975,108.8414634,3,3
2013/14,Pittsburgh,F,"Neal, James",Concussion,5,121.9512195,2,2
2013/14,Pittsburgh,D,"Orpik, Brooks",Concussion,3.75,365.8536585,8,8
2013/14,St. Louis,F,"Steen, Alex",Concussion,3.3625,451.0670732,11,11
2013/14,Tampa Bay,D,"Kostka, Mike",Concussion,0.625,22.86585366,3,3
2013/14,Vancouver,D,"Alberts, Andrew",Concussion,0.6,300,41,41
2013/14 (playoffs),Colorado,F,"Mitchell, John",Concussion,1.1,93.90243902,7,7
2013/14 (playoffs),Montreal,F,"Moen, Travis",Concussion,1.85,90.24390244,4,4
2014/15,Anaheim,D,"Holzer, Korbinian",Concussion,0.7875,172.8658537,18,18
2014/15,Buffalo,F,"McCormick, Cody",Concussion,1.5,73.17073171,4,4
2014/15,Calgary,F,"Ferland, Micheal",Concussion,0.798055,77.85902439,8,8
2014/15,Carolina,F,"Skinner, Jeff",Concussion,5.725,279.2682927,4,4
2014/15,Carolina,D,"Hillen, Jack",Concussion,0.7,162.195122,19,19
2014/15,Colorado,F,"Winchester, Jesse",Concussion,0.9,900,82,82
2014/15,Columbus,F,"Anisimov, Artem",Concussion,3.283333,280.2845244,7,7
2014/15,Columbus,F,"Calvert, Matt",Concussion,0.9875,180.6402439,15,15
2014/15,Columbus,F,"Dubinsky, Brandon",Concussion,4.2,153.6585366,3,3
2014/15,Dallas,F,"Eaves, Patrick",Concussion,0.65,55.48780488,7,7
2014/15,Detroit,F,"Franzen, Johan",Concussion,3.954545,2025.498659,42,42
2014/15,Detroit,G,"Gustavsson, Jonas",Concussion,1.85,406.097561,18,18
2014/15,Edmonton,F,"Fraser, Matt",Concussion,0.625,22.86585366,3,3
2014/15,Edmonton,D,"Ference, Andrew",Concussion,3.25,356.7073171,9,9
2014/15,Florida,F,"Pirri, Brandon",Concussion,0.925,112.804878,10,10
2014/15,Los Angeles,D,"Martinez, Alec",Concussion,1.1,241.4634146,18,18
2014/15,Minnesota,F,"Parise, Zach",Concussion,7.538462,459.6623171,5,5
2014/15,Minnesota,D,"Ballard, Keith",Concussion,1.5,1024.390244,56,56
2014/15,Montreal,F,"Parenteau, P.A.",Concussion,4,926.8292683,19,19
2014/15,Montreal,D,"Weaver, Mike",Concussion,1.75,42.68292683,2,2
2014/15,Montreal,D,"Weaver, Mike",Concussion,1.75,85.36585366,4,4
2014/15,New Jersey,F,"Clowe, Ryane",Concussion,4.85,4081.097561,69,69
2014/15,NY Islanders,F,"Grabovski, Mikhail",Concussion,5,1402.439024,23,23
2014/15,Ottawa,F,"MacArthur, Clarke",Concussion,3.25,713.4146341,18,18
2014/15,Ottawa,G,"Lehner, Robin",Concussion,2.225,732.6219512,27,27
2014/15,Pittsburgh,D,"Ehrhoff, Christian",Concussion,4,292.6829268,6,6
2014/15,Pittsburgh,D,"Letang, Kris",Concussion,7.25,618.902439,7,7
2014/15,St. Louis,F,"Backes, David",Concussion,4.5,54.87804878,1,1
2014/15,St. Louis,F,"Oshie, T.J.",Concussion,4.175,356.402439,7,7
2014/15,St. Louis,D,"Gunnarsson, Carl",Concussion,2.95,359.7560976,10,10
2014/15,Toronto,F,"Komarov, Leo",Concussion,2.95,503.6585366,14,14
2014/15,Vancouver,D,"Tanev, Chris",Concussion,2,48.78048781,2,2
2014/15 (playoffs),Anaheim,D,"Holzer, Korbinian",Concussion,0.7875,153.6585366,16,16
2014/15 (playoffs),Detroit,G,"Gustavsson, Jonas",Concussion,1.85,157.9268293,7,7
2014/15 (playoffs),Minnesota,D,"Ballard, Keith",Concussion,1.5,182.9268293,10,10
2014/15 (playoffs),Ottawa,G,"Lehner, Robin",Concussion,2.225,162.804878,6,6
2014/15 (playoffs),Pittsburgh,D,"Letang, Kris",Concussion,7.25,442.0731707,5,5
2015/16,Anaheim,G,"Andersen, Frederik",Concussion,1.15,56.09756098,4,4
2015/16,Arizona,F,"Doan, Shane",Concussion,5.251992,64.04868293,1,1
2015/16,Boston,F,"Marchand, Brad",Concussion,4.5,109.7560976,2,2
2015/16,Carolina,F,"Di Giuseppe, Phillip",Concussion,0.925,67.68292683,6,6
2015/16,Carolina,D,"Murphy, Ryan",Concussion,1.313333,80.08128049,5,5
2015/16,Carolina,G,"Ward, Cam",Concussion,6.3,307.3170732,4,4
