season,name,team,position,games_played,corsi_percentage,fenwick_percentage,goals,points,penalty_minutes,hits,takeaways,giveaways,games_missed,points_per_game
2021,Travis Hamonic,OTT,D,43,0.44,0.44,4,10,14,73,6,31,0,0.23
2021,T.J. Oshie,WSH,R,44,0.56,0.57,11,25,18,86,19,18,0,0.57
2021,Dylan Strome,CHI,C,69,0.54,0.55,22,48,28,11,47,22,0,0.7
2021,Jonathan Toews,CHI,C,71,0.5,0.49,12,37,39,25,48,34,11,0.52
2021,Trevor Moore,LAK,C,81,0.55,0.57,17,48,20,69,30,17,0,0.59
2021,Tyler Bozak,STL,C,50,0.44,0.44,3,12,14,20,20,13,0,0.24
2021,Mathieu Perreault,MTL,C,25,0.49,0.49,4,9,4,35,10,8,0,0.36
2021,Leo Komarov,NYI,R,1,0.28,0.38,0,0,2,3,0,0,0,0.0
2021,David Perron,STL,L,67,0.58,0.57,27,57,38,80,37,18,0,0.85
2021,Patric Hornqvist,FLA,R,65,0.62,0.61,11,28,19,112,24,14,0,0.43
2021,Jake Muzzin,TOR,D,47,0.48,0.48,3,14,16,105,12,44,20,0.3
2021,Scott Laughton,PHI,C,67,0.45,0.45,11,30,35,151,31,40,12,0.45
2021,Alec Martinez,VGK,D,26,0.5,0.51,3,8,4,26,8,19,0,0.31
2021,J.T. Compher,COL,L,70,0.49,0.48,18,33,25,31,26,18,0,0.47
2021,Travis Dermott,VAN,D,60,0.52,0.52,2,7,14,55,7,26,0,0.12
2022,Jonathan Toews,CHI,C,53,0.49,0.48,15,31,33,9,37,42,0,0.58
2022,Marcus Johansson,MIN,L,80,0.56,0.55,19,46,8,26,31,31,0,0.57
2022,Alec Martinez,VGK,D,77,0.42,0.45,3,14,29,48,29,30,0,0.18
2022,Alexander Edler,LAK,D,64,0.47,0.49,2,11,34,106,6,27,0,0.17
2022,Kyle Okposo,BUF,R,75,0.5,0.49,11,28,34,78,28,22,0,0.37
2022,Radko Gudas,FLA,D,72,0.49,0.49,2,17,79,312,20,36,10,0.24
2022,Marc Staal,FLA,D,82,0.45,0.45,3,15,33,152,14,25,0,0.18
2022,Roman Josi,NSH,D,67,0.56,0.55,18,59,36,51,24,29,0,0.88
2022,Connor Murphy,CHI,D,80,0.38,0.39,7,13,69,165,26,37,0,0.16
2022,Travis Hamonic,OTT,D,75,0.44,0.44,6,21,61,109,22,64,0,0.28
2022,Patric Hornqvist,FLA,R,22,0.63,0.62,1,3,13,18,5,0,40,0.14
2022,Trevor Moore,LAK,L,59,0.54,0.56,10,29,14,60,27,20,0,0.49
2022,Christian Dvorak,MTL,C,64,0.43,0.41,10,28,6,13,20,34,0,0.44
2022,Travis Dermott,VAN,D,11,0.4,0.4,1,1,2,10,1,1,34,0.09
2022,Scott Laughton,PHI,C,78,0.46,0.47,18,43,40,156,35,42,0,0.55
2022,Urho Vaakanainen,ANA,D,23,0.43,0.42,0,2,0,18,7,10,0,0.09
2022,Jonathan Huberdeau,CGY,C,79,0.62,0.62,15,55,36,65,34,62,0,0.7
2022,Jordan Staal,CAR,C,81,0.54,0.53,17,34,32,155,33,30,0,0.42
2022,Ondrej Kase,CAR,R,1,0.74,0.72,0,0,0,1,1,0,62,0.0
2022,Phillip Danault,LAK,C,82,0.52,0.54,18,54,53,81,27,32,0,0.66
2022,Drake Caggiula,PIT,C,4,0.46,0.46,0,0,0,6,1,0,0,0.0
2022,Charlie McAvoy,BOS,D,67,0.55,0.55,7,52,54,84,26,45,0,0.78
2022,Jake Muzzin,TOR,D,4,0.46,0.46,0,1,2,11,2,5,0,0.25
2022,Teuvo Teravainen,CAR,L,68,0.59,0.59,12,37,16,15,36,49,0,0.54
2022,T.J. Oshie,WSH,R,58,0.57,0.56,19,35,49,125,44,26,0,0.6
2022,Jakub Voracek,CBJ,R,11,0.5,0.5,1,6,0,2,4,1,50,0.55
2022,J.T. Compher,COL,L,82,0.52,0.52,17,52,33,37,28,28,0,0.63
2022,David Perron,DET,L,82,0.59,0.59,24,56,52,107,40,32,0,0.68
2022,Trevor Lewis,CGY,C,82,0.5,0.5,9,20,18,158,29,13,0,0.24
2022,Dylan Strome,WSH,C,81,0.58,0.57,23,65,24,20,45,42,0,0.8
2022,Sam Gagner,WPG,C,48,0.57,0.56,8,14,13,16,12,10,0,0.29
2022,Mark Borowiecki,NSH,D,4,0.44,0.39,0,0,12,5,0,0,0,0.0
2022,Sonny Milano,WSH,L,64,0.52,0.51,11,33,18,39,21,21,0,0.52
2022,Nikita Soshnikov,NYI,R,3,0.59,0.59,0,0,0,8,0,1,0,0.0
2022,Vladimir Tarasenko,NYR,R,69,0.52,0.52,18,50,8,75,24,26,0,0.72
