,pkey,Season,Player,Team,Position,Games_Missed
99,2014Mike Weaver,2014,Mike Weaver,MTL,D,4
100,2014Ryane Clowe,2014,Ryane Clowe,N.J,F,69
101,2014Mikhail Grabovski,2014,Mikhail Grabovski,NYI,F,23
102,2014Clarke MacArthur,2014,Clarke MacArthur,OTT,F,18
103,2014Christian Ehrhoff,2014,Christian Ehrhoff,PIT,D,6
104,2014Kris Letang,2014,Kris Letang,PIT,D,7
105,2014David Backes,2014,David Backes,STL,F,1
106,2014T.J. Oshie,2014,T.J. Oshie,STL,F,7
107,2014Carl Gunnarsson,2014,Carl Gunnarsson,STL,D,10
108,2014Leo Komarov,2014,Leo Komarov,TOR,F,14
109,2014Chris Tanev,2014,Chris Tanev,VAN,D,2
110,2014Korbinian Holzer,2014,Korbinian Holzer,ANA,D,16
111,2014Keith Ballard,2014,Keith Ballard,MIN,D,10
112,2014Kris Letang,2014,Kris Letang,PIT,D,5
113,2015Shane Doan,2015,Shane Doan,ARI,F,1
114,2015Brad Marchand,2015,Brad Marchand,BOS,F,2
115,2015Phillip Di Giuseppe,2015,Phillip Di Giuseppe,CAR,F,6
116,2015Ryan Murphy,2015,Ryan Murphy,CAR,D,5
117,2015Jack Skille,2015,Jack Skille,COL,F,5
118,2015Chris Bigras,2015,Chris Bigras,COL,D,4
119,2015Nikita Zadorov,2015,Nikita Zadorov,COL,D,1
120,2015Alexander Wennberg,2015,Alexander Wennberg,CBJ,F,5
121,2015Johan Franzen,2015,Johan Franzen,DET,F,80
122,2015Kyle Quincey,2015,Kyle Quincey,DET,D,4
123,2015Ryan Nugent-Hopkins,2015,Ryan Nugent-Hopkins,EDM,F,3
124,2015Iiro Pakarinen,2015,Iiro Pakarinen,EDM,F,3
125,2015Quinton Howden,2015,Quinton Howden,FLA,F,4
126,2015Jason Zucker,2015,Jason Zucker,MIN,F,6
127,2015Mark Barberio,2015,Mark Barberio,MTL,D,11
128,2015Ryan McDonagh,2015,Ryan McDonagh,NYR,D,4
129,2015Curtis Lazar,2015,Curtis Lazar,OTT,F,3
130,2015Clarke MacArthur,2015,Clarke MacArthur,OTT,F,78
131,2015Marc Methot,2015,Marc Methot,OTT,D,3
132,2015Sam Gagner,2015,Sam Gagner,PHI,F,11
133,2015David Warsofsky,2015,David Warsofsky,PIT,D,16
134,2015Ben Smith,2015,Ben Smith,S.J,F,21
135,2015Robby Fabbri,2015,Robby Fabbri,STL,F,6
136,2015Peter Holland,2015,Peter Holland,TOR,F,12
137,2015Mathieu Perreault,2015,Mathieu Perreault,WPG,F,10
138,2015Mark Scheifele,2015,Mark Scheifele,WPG,F,4
139,2015Johan Franzen,2015,Johan Franzen,DET,F,5
140,2016Simon Despres,2016,Simon Despres,ANA,D,81
141,2016Jakob Chychrun,2016,Jakob Chychrun,ARI,D,1
142,2016David Backes,2016,David Backes,BOS,F,3
143,2016Ryan Spooner,2016,Ryan Spooner,BOS,F,3
144,2016John-Michael Liles,2016,John-Michael Liles,BOS,D,19
145,2016Kevan Miller,2016,Kevan Miller,BOS,D,4
146,2016Jordan Staal,2016,Jordan Staal,CAR,F,7
147,2016Patrick Sharp,2016,Patrick Sharp,DAL,F,12
148,2016Patrick Sharp,2016,Patrick Sharp,DAL,F,14
149,2016Seth Griffith,2016,Seth Griffith,FLA,F,4
150,2016Denis Malgin,2016,Denis Malgin,FLA,F,9
151,2016Reilly Smith,2016,Reilly Smith,FLA,F,2
152,2016Aaron Ekblad,2016,Aaron Ekblad,FLA,D,4
153,2016Andrew Shaw,2016,Andrew Shaw,MTL,F,14
154,2016Jacob Josefson,2016,Jacob Josefson,N.J,F,5
155,2016Pavel Zacha,2016,Pavel Zacha,N.J,F,4
156,2016John Moore,2016,John Moore,N.J,D,17
157,2016Matt Puempel,2016,Matt Puempel,NYR,F,5
158,2016Matt Puempel,2016,Matt Puempel,NYR,F,7
159,2016Marc Staal,2016,Marc Staal,NYR,D,9
160,2016Curtis Lazar,2016,Curtis Lazar,OTT,F,3
161,2016Clarke MacArthur,2016,Clarke MacArthur,OTT,F,78
162,2016Brandon Manning,2016,Brandon Manning,PHI,D,3
163,2016Sidney Crosby,2016,Sidney Crosby,PIT,F,6
164,2016Jake Guentzel,2016,Jake Guentzel,PIT,F,4
165,2016Carl Hagelin,2016,Carl Hagelin,PIT,F,5
166,2016Patric Hornqvist,2016,Patric Hornqvist,PIT,F,5
167,2016Patric Hornqvist,2016,Patric Hornqvist,PIT,F,6
168,2016Justin Schultz,2016,Justin Schultz,PIT,D,3
169,2016Sven Bartschi,2016,Sven Bartschi,VAN,F,9
170,2016Patrik Laine,2016,Patrik Laine,WPG,F,8
171,2016Tobias Enstrom,2016,Tobias Enstrom,WPG,D,9
172,2016Simon Despres,2016,Simon Despres,ANA,D,17
173,2016Andrew Shaw,2016,Andrew Shaw,MTL,F,1
174,2016Sidney Crosby,2016,Sidney Crosby,PIT,F,1
175,2016Conor Sheary,2016,Conor Sheary,PIT,F,1
176,2016Chad Ruhwedel,2016,Chad Ruhwedel,PIT,D,3
177,2017Ondrej Kase,2017,Ondrej Kase,ANA,F,10
178,2017Kyle Okposo,2017,Kyle Okposo,BUF,F,3
179,2017Victor Antipin,2017,Victor Antipin,BUF,D,4
180,2017Sebastian Aho,2017,Sebastian Aho,CAR,F,4
181,2017Noah Hanifin,2017,Noah Hanifin,CAR,D,3
182,2017Brett Pesce,2017,Brett Pesce,CAR,D,3
183,2017Trevor van Riemsdyk,2017,Trevor van Riemsdyk,CAR,D,3
184,2017Colin Wilson,2017,Colin Wilson,COL,F,8
