"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
1354,"2013Brett Bellemore",2013,"Brett Bellemore","CAR","D",64,2,8,45,169,21,39,0.45,0.46,6
1359,"2013Keith Ballard",2013,"Keith Ballard","MIN","D",45,2,9,37,58,7,18,0.46,0.46,7
1362,"2013Nick Bjugstad",2013,"Nick Bjugstad","FLA","C",76,16,38,16,117,37,28,0.54,0.54,5
1363,"2013Jay Harrison",2013,"Jay Harrison","CAR","D",68,4,15,44,141,8,23,0.49,0.47,6
1429,"2013Daniel Briere",2013,"Daniel Briere","MTL","C",69,13,25,30,23,22,17,0.52,0.52,10
1448,"2013James Neal",2013,"James Neal","PIT","L",59,27,61,55,58,31,22,0.65,0.64,2
1469,"2013George Parros",2013,"George Parros","MTL","R",22,0,1,55,14,0,2,0.28,0.27,12
1469,"2013George Parros",2013,"George Parros","MTL","R",22,0,1,55,14,0,2,0.28,0.27,10
1499,"2013Tyler Seguin",2013,"Tyler Seguin","DAL","C",80,37,84,8,48,67,60,0.6,0.61,2
1554,"2013Matt Greene",2013,"Matt Greene","L.A","D",38,2,6,37,118,1,36,0.51,0.51,6
1560,"2013Steve Downie",2013,"Steve Downie","PHI","R",62,4,24,84,70,24,21,0.54,0.53,4
1563,"2013Seth Jones",2013,"Seth Jones","NSH","D",77,6,25,24,55,25,57,0.49,0.5,5
1656,"2013Daniel Paille",2013,"Daniel Paille","BOS","L",72,9,18,6,70,32,13,0.43,0.44,7
1656,"2013Daniel Paille",2013,"Daniel Paille","BOS","L",72,9,18,6,70,32,13,0.43,0.44,2
1663,"2013Tim Gleason",2013,"Tim Gleason","TOR","D",56,1,6,55,156,9,26,0.39,0.38,10
1700,"2013Andrew Alberts",2013,"Andrew Alberts","VAN","D",10,0,0,0,6,0,4,0.47,0.42,41
1712,"2013Lubomir Visnovsky",2013,"Lubomir Visnovsky","NYI","D",24,3,11,10,14,15,18,0.61,0.59,46
1712,"2013Lubomir Visnovsky",2013,"Lubomir Visnovsky","NYI","D",24,3,11,10,14,15,18,0.61,0.59,12
1745,"2014Jack Hillen",2014,"Jack Hillen","CAR","D",38,0,5,10,38,6,9,0.48,0.47,19
1764,"2014Kris Letang",2014,"Kris Letang","PIT","D",69,11,54,59,131,39,60,0.55,0.55,5
1764,"2014Kris Letang",2014,"Kris Letang","PIT","D",69,11,54,59,131,39,60,0.55,0.55,7
1824,"2014Christian Ehrhoff",2014,"Christian Ehrhoff","PIT","D",49,3,14,26,73,12,21,0.51,0.5,6
1853,"2014Alec Martinez",2014,"Alec Martinez","L.A","D",56,6,22,10,95,11,38,0.53,0.53,18
1879,"2014Micheal Ferland",2014,"Micheal Ferland","CGY","L",26,2,5,16,67,19,11,0.47,0.5,8
1890,"2014David Backes",2014,"David Backes","STL","R",80,26,58,72,227,38,29,0.52,0.54,1
1915,"2014Leo Komarov",2014,"Leo Komarov","TOR","C",62,8,26,18,250,51,18,0.41,0.41,14
1925,"2014Mike Weaver",2014,"Mike Weaver","MTL","D",31,0,4,6,35,5,17,0.37,0.37,4
1925,"2014Mike Weaver",2014,"Mike Weaver","MTL","D",31,0,4,6,35,5,17,0.37,0.37,2
1927,"2014Zach Parise",2014,"Zach Parise","MIN","L",74,33,62,26,86,47,24,0.59,0.6,5
2044,"2014Mikhail Grabovski",2014,"Mikhail Grabovski","NYI","C",51,9,19,8,11,26,31,0.58,0.59,23
2169,"2014Matt Calvert",2014,"Matt Calvert","CBJ","L",56,13,23,28,92,26,19,0.46,0.45,15
2181,"2014Brandon Dubinsky",2014,"Brandon Dubinsky","CBJ","C",47,13,36,43,152,19,19,0.5,0.49,3
2187,"2014Andrew Ference",2014,"Andrew Ference","EDM","D",70,3,14,39,156,12,38,0.42,0.41,9
2197,"2014Artem Anisimov",2014,"Artem Anisimov","CBJ","C",52,7,27,8,33,24,21,0.5,0.49,7
2199,"2014Cody McCormick",2014,"Cody McCormick","BUF","C",33,1,4,26,77,3,10,0.29,0.29,4
2215,"2014Carl Gunnarsson",2014,"Carl Gunnarsson","STL","D",61,2,12,2,42,11,13,0.48,0.5,10
2273,"2014Patrick Eaves",2014,"Patrick Eaves","DAL","R",47,14,27,8,69,18,10,0.59,0.6,7
2274,"2014Keith Ballard",2014,"Keith Ballard","MIN","D",14,0,1,26,15,2,5,0.43,0.43,10
